Names,Sex,Genotype,Age
46882,F,5XFAD,4
46883,F,5XFAD,4
46885,F,WT,4
46134,F,5XFAD,4
46141,F,5XFAD,4
46142,F,5XFAD,4
46866,M,5XFAD,4
46867,M,5XFAD,4
46868,M,5XFAD,4
46878,M,5XFAD,4
46879,M,5XFAD,4
46896,M,5XFAD,4
46862,F,WT,4
46881,F,WT,4
46893,F,WT,4
46887,F,5XFAD,4
46131,F,WT,4
46138,F,WT,4
46888,M,WT,4
46891,M,WT,4
46877,M,WT,4
46895,M,WT,4
46897,M,WT,4
46884,M,WT,4
46111,F,5XFAD,6
46113,F,5XFAD,6
46132,F,5XFAD,6
46871,F,5XFAD,6
46886,F,5XFAD,6
46863,F,5XFAD,6
46874,M,5XFAD,6
46875,M,5XFAD,6
46889,M,5XFAD,6
46890,M,5XFAD,6
46892,M,5XFAD,6
46865,M,5XFAD,6
46115,F,WT,6
46105,F,WT,6
46106,F,WT,6
46107,F,WT,6
46112,F,WT,6
46121,F,WT,6
46108,M,WT,6
46109,M,WT,6
46110,M,WT,6
46872,M,WT,6
46873,M,WT,6
46876,M,WT,6
32081,F,5XFAD,12
32078,F,5XFAD,12
32048,F,5XFAD,12
32068,F,5XFAD,12
32050,F,WT,12
32052,F,5XFAD,12
32062,M,5XFAD,12
32088,M,5XFAD,12
32075,M,5XFAD,12
32640,M,5XFAD,12
32053,M,5XFAD,12
32059,M,5XFAD,12
32067,F,WT,12
32070,F,WT,12
32057,F,WT,12
32065,F,WT,12
32049,F,WT,12
32043,F,5XFAD,12
32044,M,WT,12
32047,M,WT,12
32061,M,WT,12
32046,M,WT,12
32073,M,WT,12
32074,M,WT,12